Movie_Name,Genre,Duration,Ratings,Voting_counts
Alla conquista del mondo,Animation,N/A,7.0,27
The Littlest Angel 2: Lily Has a Secret,Animation,1h 24m,N/A,N/A
Robo Puffin,Animation,N/A,N/A,N/A
Untitled Ambition: The Journey to Valtoria,Animation,N/A,N/A,N/A
"The Wizard and the Scholar (or, a Rapscallion Runs Amok in Rye)",Animation,1h 3m,N/A,N/A
Ba Jie,Animation,N/A,N/A,N/A
Baby Halloween,Animation,1h 6m,N/A,N/A
Sunny,Animation,N/A,N/A,N/A
Happy Little Submarine: 80 Days Around the Earth,Animation,1h 20m,N/A,N/A
Turbozavry. God drakona,Animation,48m,8.7,46
Broken Glass,Animation,N/A,N/A,N/A
2054: The Wreckoning,Animation,1h,N/A,N/A
The Redemption of Zack & Heather (Remastered),Animation,N/A,N/A,N/A
Milk Teeth - Essere bambine in Afghanistan,Animation,N/A,N/A,N/A
Nefertiti Regina Inimilor,Animation,1h 29m,N/A,N/A
Blossomele,Animation,53m,N/A,N/A
Sirds likums,Animation,1h 5m,6.7,18
Gintama the Movie 2D: Courtesan of the Nation Arc,Animation,1h 49m,7.8,12
Minderler Adasi: Kilicin Sahibi,Animation,N/A,N/A,N/A
Fishtales: The Christmas Whale,Animation,1h 5m,N/A,N/A
Mult v kino. Vypusk # 165: Multikov vsegda malo,Animation,49m,N/A,N/A
Ah My Goddess: Bad Goddess One Wish,Animation,53m,N/A,N/A
Cekárna,Animation,3m,N/A,N/A
Me,Animation,1h,N/A,N/A
Worship,Animation,1h 15m,N/A,N/A
Unhappy 25 Years Little Brat,Animation,N/A,N/A,N/A
Diego of the Dead 2,Animation,1h,N/A,N/A
Métasexe,Animation,42m,N/A,N/A
"Abenzaidún y Wallada, amor eterno",Animation,1h 7m,N/A,N/A
Gg Bond: Interstellar Action,Animation,N/A,N/A,N/A
Glossbusters,Animation,1h 3m,N/A,N/A
Mission to Pisom,Animation,N/A,N/A,N/A
Skazochnyy patrul,Animation,1h 15m,N/A,N/A
Pikmin Destruction,Animation,1h 35m,N/A,N/A
Frost: End of the Ashics,Animation,57m,N/A,N/A
Eiga Shimajiro Miracle-jima no Nanairo Carnation,Animation,1h 10m,N/A,N/A
Huang Pi: God of Money,Animation,1h 22m,N/A,N/A
Skullmaster: The Warrior of Havoc,Animation,N/A,N/A,N/A
Dreamscape Vibes: Christmas Ambiance,Animation,1h,N/A,N/A
Dreamscape Vibes: Halloween Dance Party,Animation,1h 1m,N/A,N/A
Golmaal Jr: Humshakals Ka Golmaal,Animation,46m,N/A,N/A
World of Sathvik and his friends : The Cursed Pumpkin,Animation,48m,N/A,N/A
The Super Paper Mario Movie,Animation,1h 41m,N/A,N/A
More Vivid Then This Morning's News,Animation,1h 2m,N/A,N/A
Mult v kino. Vypusk # 167: Fokus-pokus,Animation,51m,N/A,N/A
Poder Del Pueblo,Animation,1h 24m,N/A,N/A
Molang au cinéma!,Animation,55m,N/A,N/A
Era un soñador,Animation,1h 5m,N/A,N/A
Daughters of Monster Magnet,Animation,46m,N/A,N/A
Little Richard the Shark,Animation,N/A,N/A,N/A
Slides for the Lecture-Performance,Animation,55m,N/A,N/A
My Time to Make It Happen: As Told by Tiana Melvina,Animation,42m,N/A,N/A
FAMU detem,Animation,N/A,N/A,N/A
NJPW SMP: The Movie,Animation,50m,N/A,N/A
Let Them Breathe: City on the Ocean,Animation,1h 52m,N/A,N/A
Ilia Jostojooye Ghahreman,Animation,N/A,N/A,N/A
Baby Pillows,Animation,N/A,N/A,N/A
Ramayan the Hero's Path,Animation,N/A,N/A,N/A
Snow White's Storytime: The Wishing-Stone Stories,Animation,4h 56m,N/A,N/A
Healing for the Nations,Animation,3m,N/A,N/A
Family album,Animation,N/A,N/A,N/A
Pesnya Sirin,Animation,1h 25m,N/A,N/A
Fairytale Fun Force Storytime: Happy Jack,Animation,2h 39m,N/A,N/A
Mult v kino. Vypusk # 173: Sekrety druzhby!,Animation,48m,N/A,N/A
"Minsky, the little helper robot",Animation,6m,N/A,N/A
Mult v kino. Vypusk # 174. Dobrye dela!,Animation,48m,N/A,N/A
Abandoned,Animation,54m,N/A,N/A
The Things I Have Seen,Animation,1h 30m,N/A,N/A
The Photographer,Animation,N/A,N/A,N/A
Um Tempo de Todos,Animation,2h 12m,N/A,N/A
Mult v kino. Vypusk # 175,Animation,48m,N/A,N/A
Five Nights at TK's: The Curse of TK,Animation,1h,N/A,N/A
VS Volume 4,Animation,N/A,N/A,N/A
Mel John,Animation,1h 55m,N/A,N/A
Gift,Animation,N/A,N/A,N/A
Broken oath Chapter #2 Blood Bath on City Island,Animation,1h 30m,N/A,N/A
Imam Hussein the Majestic Sacrifice,Animation,N/A,N/A,N/A
Mult v kino. Vypusk # 170: Vsyo luchshee - druzyam,Animation,52m,N/A,N/A
