Movie_Name,Genre,Duration,Ratings,Voting_counts
87 Candles,Biography,55m,9.1,11
¡Qué suerte hemos tenido!,Biography,1h 2m,7.5,18
Palace Guardians,Biography,1h 4m,9.3,8
Tapes of Revolution,Biography,1h 15m,9.4,7
Grow Vasu,Biography,1h,N/A,N/A
Doris Soffel - Mezzosopran Ein Leben im Labyrinth,Biography,59m,N/A,N/A
I am the girl: this is my childhood until I wake up,Biography,1h 40m,N/A,N/A
The Artistry of Dean Irby,Biography,1h 35m,N/A,N/A
O Voo do Crocodilo - O Timor de Ruy Cinatti,Biography,1h 11m,N/A,N/A
Why I Swam Upstream,Biography,N/A,N/A,N/A
Gaston - Last Clown Standing,Biography,1h 30m,N/A,N/A
O Homem Crocodilo,Biography,1h 24m,N/A,N/A
Die Hahnenkammbahn,Biography,N/A,N/A,N/A
Eleonora Abbagnato - Una stella che danza,Biography,N/A,N/A,N/A
Mariko's Dream,Biography,1h 19m,N/A,N/A
The Life and Death of Orson Greer,Biography,N/A,N/A,N/A
Kushstock: The Movie,Biography,N/A,N/A,N/A
Pandit Ayachi,Biography,1h 4m,N/A,N/A
Zhambyl: New Era,Biography,1h 32m,N/A,N/A
Another Part of Me,Biography,N/A,N/A,N/A
Colonel Xanthi,Biography,N/A,N/A,N/A
Italo Svevo. Secret Writing in Trieste,Biography,1h 1m,N/A,N/A
Davaj Paradiso,Biography,1h 3m,8.8,30
Beyaz Zenciler: Yapim Asamasi,Biography,55m,8.6,5
Toquinho: Encontros e um Violão,Biography,1h 30m,8.6,5
"Georges Pompidou, la cruauté du pouvoir",Biography,1h 44m,6.5,7
Sefi,Biography,58m,N/A,N/A
Alzheimer mezhdu baba i men,Biography,51m,N/A,N/A
Domenico Modugno - L'italiano che incantò il mondo,Biography,N/A,N/A,N/A
O Poeta Rei,Biography,1h 9m,N/A,N/A
Interviews with Abdelkrim Baba Aïssa,Biography,6h 14m,N/A,N/A
Zielony atrament,Biography,49m,N/A,N/A
Obsessed with Fashion,Biography,N/A,N/A,N/A
Mi última Gran Montaña,Biography,N/A,N/A,N/A
Run It Back: A Home Brew Story,Biography,1h 8m,N/A,N/A
A Serena Onda que o Mar me Trouxe,Biography,1h 13m,N/A,N/A
Mr Bakhshdar,Biography,1h,N/A,N/A
Queen Elizabeth II: Before the Crown,Biography,45m,N/A,N/A
Norma: rosso sangue,Biography,N/A,N/A,N/A
Zivot je maskenbal,Biography,1h 28m,N/A,N/A
DCLXVI,Biography,3h 20m,N/A,N/A
Illuminate - Monica Vitti - La donna che visse due volte,Biography,45m,N/A,N/A
"Antonio Mairena, la raiz del cante",Biography,N/A,N/A,N/A
Dad and I: The Legacy of Timothy J. Dunn,Biography,2h 23m,N/A,N/A
I am the girl 2 and my black belt,Biography,2h 2m,N/A,N/A
"THE GAP: A Documentary About Where You Are, and Where You Want to Be.",Biography,1h 36m,N/A,N/A
Seamus,Biography,1h 2m,N/A,N/A
Mary Pickford's Kiss,Biography,1h 23m,N/A,N/A
Entre Dois Rios e Outras Noites,Biography,50m,N/A,N/A
I Used to Love a Crackhead,Biography,N/A,N/A,N/A
Freak Out: The Joel M. Reed Story,Biography,1h 10m,N/A,N/A
Zakonczenie 8 Klasy W Szkole Podstawowej W Pamiatkowie,Biography,N/A,N/A,N/A
YA - Sergey Obraztsov,Biography,1h 25m,N/A,N/A
Images of Album,Biography,N/A,N/A,N/A
Um Tempo de Todos,Biography,2h 12m,N/A,N/A
"Wifredo, el legado de un genio del lente",Biography,1h 4m,N/A,N/A
Itinéraire d'un enfant DJ,Biography,N/A,N/A,N/A
Neizvestnaya Tsvetaeva,Biography,N/A,N/A,N/A
