Movie_Name,Genre,Duration,Ratings,Voting_counts
Uzhaipalar Thinam,Family,2h 2m,4.2,7
Mangu the Fighter,Family,1h 45m,N/A,N/A
Kaash (Jiff Official Selection),Family,54m,N/A,N/A
Didi No.1,Family,N/A,N/A,N/A
Skaapboud of Potjie,Family,1h 29m,N/A,N/A
Abar Amra Eksathe,Family,50m,N/A,N/A
Shahrband,Family,N/A,N/A,N/A
Eri Naam Songsar,Family,47m,N/A,N/A
Wishma,Family,1h 30m,N/A,N/A
Baawla,Family,17m,N/A,N/A
Diego of the Dead 2,Family,1h,N/A,N/A
Filli Saat: Cezeri'nin Mirasi,Family,N/A,N/A,N/A
